start_s,end_s
84.15969729449763,86.39968923769719
246.11911475905129,249.99910080352197
349.2787437146166,352.59873177328734
376.918644299454,378.9586369620107
515.5581456410551,518.8781336997259
521.0381259306683,524.0381151403105
534.2780783092228,536.3180709717795
565.8379647946595,573.7179364519865
582.7579039370419,590.0378777524404
604.1178271096948,611.4378007812219
631.3577291332465,634.237718774503
642.5176889931157,649.0776653982001
675.6775697236949,683.5575413810219
703.6774690136893,711.2374418219878
730.4373727636984,733.757360822369
738.8373425506967,743.9173242790242
748.1973088847806,750.7572996770086
788.5971635746297,791.2371540791148
797.5571313474279,808.6770913511685
821.1570464632804,823.39703840648
826.7170264651506,828.9970182644788
829.7970153870501,836.8369900656772
838.5569838792055,844.3969628739758
869.756871659485,873.0368598620272
875.8768496471553,878.9968384251832
879.9568349722688,890.4367972779523
890.5967967024666,900.1967621733219
926.9566659233309,929.6366562839446
932.0366476516584,934.7966377245293
941.876612259285,956.9565580197535
982.9964643594483,985.8364541445764
991.7564328516038,1003.8763892585584
1024.2363160279974,1027.9963025040822
1033.7562817865955,1045.1962406393645
1071.0761475545453,1074.7961341745015
1079.716116478315,1089.9560796472272
1125.2359527526203,1134.955917791861
1169.0357952133973,1175.9557703236387
1191.8357132066785,1199.6756850078768
1218.0756188270161,1222.0356045837439
1229.7555768165566,1237.3955493371122
1258.675472797508,1264.275452655507
1281.4753907907893,1284.3953802881745
1292.31535180163,1300.3953227395998
1325.9152309496233,1334.0352017437217
1421.79488608979,1429.0748599051885
1446.1547984720853,1449.0347881133418
1453.5547718558696,1461.0747448080394
1475.7146921510937,1487.314650428377
1517.3545423809283,1524.1545179227842
1550.0344248379647,1558.79439333012
1577.4743261421593,1590.4742793839423
1630.3141360879918,1636.794112780819
1655.754044585758,1661.8740225734282
1679.7139584067677,1685.713936826052
1690.2339205685798,1693.4739089149934
1702.1538776948917,1708.6738542438477
1728.873781588772,1738.513746915756
1748.3937113795112,1750.873702459482
1811.273485213613,1815.5934696754978
