start_s,end_s
7.599972705855312,14.319948572085272
31.759885939205883,38.439861949089234
46.95983135091651,66.99975938056657
82.2397046486238,88.0396838188818
100.63963856806298,107.43961414698614
108.03961199218526,111.63959906337988
117.35957852094467,125.47954935930586
128.95953686146066,138.95950094811238
150.79945842670804,158.91942926506923
230.87917083261505,234.75915689823591
245.639117824513,250.8390991495719
271.1590261736482,274.95901252657586
292.27895032465665,296.67893452278344
314.9588688731828,319.5988522093892
335.55879489168535,339.19878181922655
349.71874403838416,359.0387105671436
386.11861331379646,393.798585732345
408.9985311440556,415.4385080158593
418.0784985347354,430.7584529966098
443.5184071711774,449.91838418663446
462.278339797736,467.4383212664483
549.1980276389128,551.2780201689363
556.917999913808,561.997981669827
580.317915876573,585.1578984945124
599.7978459173705,604.437829253577
604.5578288226168,607.1578194851462
615.3977898925473,621.8777666206976
644.0776868930644,649.2776682181233
650.3976641958283,653.2776538527839
661.2376252657588,671.9175869103028
680.5975557375165,686.037536200655
699.0774893696489,703.4774735677756
721.7174080618285,725.7173936964891
736.1173563466069,741.197338102626
763.9572563638453,771.7572283514336
789.1971657185543,794.9971448888123
795.1971441705452,798.277133109234
818.7570595586967,826.7170309716715
848.7969516749986,856.3169246681606
857.7169196402918,860.956908004367
864.9968934953744,876.9168506866632
887.9568110383267,892.8367935126128
897.8367755559386,906.1567456760329
916.4767086134574,919.876696402919
925.4766762914439,936.9566350629202
952.7565783198299,959.4765541860598
1066.116171206114,1070.3961558352007
1088.3160914784808,1092.7160756766075
1111.276009021433,1116.475990346492
1131.11593776935,1135.59592168017
1164.315818537034,1173.1157869332874
1181.8357556168476,1187.195736367293
1198.6756951387692,1203.6356773257485
1208.755658938114,1218.4756240303395
1234.115567861863,1238.7155513417226
1243.7555332413951,1254.9554930184452
1365.5150959604666,1377.1950540136759
1397.2749818996724,1402.514963081078
1413.9949218525542,1426.314877607309
1454.1547776245475,1470.674718295696
1501.7946065333563,1505.394593604551
1519.2345439004769,1528.874509280009
1560.834394500948,1564.194382434063
1576.5943379015112,1588.714294374533
1620.5941798827787,1652.514065247371
1673.7939888237659,1675.8739813537895
1686.4739432856404,1693.43391828995
1717.7138310923403,1723.9538086824111
1759.9936792507037,1766.5536556915474
1770.0736430500488,1774.8736258116417
1775.0736250933746,1779.4736092915014
1788.2335778314084,1797.713543785554
1812.1934917830258,1816.353476843073
1825.3534445210596,1830.5534258461184
1851.5133505717404,1857.8333278745044
1860.5933179624203,1872.113276590243
1889.2332151065907,1894.2731970062632
1908.1131473021892,1912.3531320749296
2031.3527047060852,2036.0726877549846
2071.272561339999,2076.152543814285
2105.672437798081,2110.552420272367
2131.072346578176,2135.952329052462
2153.152267281503,2156.792254209044
2172.2721986151814,2177.3921802275468
2209.3120655921393,2216.0320414583693
2227.6319997988853,2239.7119564155605
2256.951894500948,2263.8318697925642
2278.2718179336894,2281.871805004884
2286.9117869045567,2293.4317634890535
2324.151653163248,2326.1116461242314
2394.9913987530886,2398.711385393323
2416.5913211802563,2423.751295466299
2428.231279377119,2430.7912701833015
2440.311235993794,2445.5512171752
2461.3511604321093,2468.2711355800725
2474.951111589956,2483.2310818537035
2508.1509923576396,2512.5509765557663
2521.950942797219,2527.83092168017
2556.230819686261,2563.950791961156
2593.9506842211113,2608.830630782049
2634.1905397057976,2637.710527064299
2649.7504838246277,2657.0304576797103
2669.7104121415846,2674.470395046831
2685.3103561167613,2690.1903385910473
2694.310323794748,2698.1503100040222
2705.1502848646783,2719.470233436764
2757.390097253347,2767.5100609090387
2776.0300303108656,2779.9100163764865
2800.549942251336,2805.1899255875423
2829.3498388208927,2837.509809515601
2852.7897546400045,2863.949714560708
2899.469586996495,2904.6295684652073
2926.4294901741077,2937.0694519623053
3010.1091896512094,3018.4691596276502
3042.2690741538813,3052.0290391024537
3072.8689642590357,3080.188937970465
3112.0688234787103,3121.548789432856
