start_s,end_s
7.399973424122278,15.51994426248348
31.839885651899095,37.19986640234442
47.11983077630293,67.1997586622996
82.39970407401023,87.51968568637591
100.63963856806298,111.27960035626042
117.5995776590243,122.11956142619088
129.11953628684708,137.63950568867438
150.95945785209446,159.51942711026834
230.91917068896166,234.83915661092914
245.79911724989944,250.7590994368787
271.11902631730163,274.7990131011894
292.1989506119634,297.35893208067574
314.9588688731828,319.5588523530426
335.59879474803193,339.3987811009596
349.838743607424,359.8387076940757
386.79861087168877,393.9585851577314
409.1185307130954,413.5985146239154
418.23849796012183,428.87845974831924
443.5984068838706,449.75838476124807
462.35833951042923,467.23832198471524
557.0379994828478,560.4379872723093
580.1979163075332,584.8778995000862
599.757846061024,604.3978293972303
615.317790179854,622.4777644658967
645.1976828707694,649.9576657760156
661.1576255530656,671.7575874849164
680.3975564557835,683.7575443888984
699.0774893696489,703.3974738550825
721.757407918175,725.7173936964891
736.2373559156467,740.3973409756939
764.7572534907774,770.9972310808481
789.2371655749008,795.0371447451589
818.7570595586967,825.3170359995403
849.5169490892374,854.1169325690972
856.6769233752801,859.9569115957019
865.0368933517209,876.9168506866632
887.9968108946733,892.1567959547205
898.0367748376716,905.1967491237143
916.3967089007642,919.7566968338792
925.3166768660575,935.7166395161753
952.8765778888697,960.276551312992
1065.996171637074,1070.1961565534677
1088.7560898982933,1092.6760758202608
1111.3960085904728,1116.155991495719
1131.835935183589,1135.8759206745963
1164.9158163822328,1172.1557903809687
1182.5957528874333,1186.7557379474804
1199.595691834741,1203.5156777567086
1208.7156590817674,1218.835622737459
1234.9555648451417,1238.7155513417226
1243.7955330977418,1255.7154902890306
1365.3950963914267,1375.3950604780784
1397.1949821869791,1400.874968970867
1414.0749215652472,1425.914879043843
1454.2347773372408,1470.794717864736
1501.9146061023962,1505.6345927426305
1519.2745437568235,1528.874509280009
1560.954394069988,1564.3543818594494
1577.2743354594036,1588.1942962420271
1620.5141801700856,1652.7140645291042
1686.4339434292938,1693.2739188645635
1717.7938308050336,1723.8738089697179
1760.27367824513,1766.5136558352008
1770.3136421881284,1774.833625955295
1788.1935779750618,1797.1535457967016
1812.3134913520657,1815.953478279607
1825.5934436591392,1829.873428288226
1851.673349997127,1855.7133354881341
1860.5933179624203,1871.7132780267768
1889.3532146756306,1893.673199161064
1908.033147589496,1912.313132218583
2031.3927045624316,2036.2326871803712
2071.272561339999,2075.7925451071656
2106.1124362178934,2110.2724212779403
2131.2323460035627,2135.472330776303
2153.3522665632363,2156.312255932885
2172.3121984715276,2177.3121805148535
2209.512064873872,2216.352040309142
2228.6319962075504,2240.07195512268
2257.151893782681,2263.991869217951
2278.431817359076,2281.791805292191
2286.99178661725,2292.151768085962
2394.9913987530886,2399.1513838131355
2416.5513213239096,2422.231300925128
2428.4712785151983,2430.871269895995
2440.311235993794,2445.19121846808
2462.1911574153883,2466.1911430500486
2475.0311113026487,2482.8710831465837
2508.0709926449463,2512.27097756134
2521.950942797219,2527.7909218238233
2556.1908198299143,2562.1507984255586
2593.9506842211113,2608.2706327931965
2634.2305395621443,2637.4705279262193
2649.7504838246277,2656.7104588289376
2670.3104099867837,2673.550398350859
2685.350355973108,2690.230338447394
2694.5503229328274,2697.9903105786357
2705.2302845773715,2719.470233436764
2757.3100975406537,2767.990059185198
2800.549942251336,2805.349925012929
2829.429838533586,2836.0698146871227
2852.949754065391,2864.429712836867
2899.469586996495,2904.349569470781
2926.509489886801,2938.6694462161695
3010.269189076596,3018.109160920531
3042.9490717117737,3052.0690389588003
3072.7889645463424,3079.7489395506523
3112.108823335057,3121.788788570936
3149.7086883008674,3152.708677526863
3420.7877147618224,3424.4677015457105
3432.8276715221514,3439.147648824915
3455.5075900706775,3459.2675765672584
3469.7075390737227,3476.3475152272595
3498.0274373671205,3501.9874231454346
3516.4273712865597,3521.0673546227663
3541.627280784922,3546.067264839395
3564.2671994771017,3572.9471683043153
3593.187095615698,3600.4670694707806
3624.4269834223983,3633.5869505257715
3696.4667247026373,3706.5466885019823
3721.3466353502267,3725.5466202666207
3730.666601878986,3740.8265653910244
3758.6265014652645,3767.946467994024
3783.826410963627,3787.386398178475
3792.8263786416132,3804.146337987703
3824.746264006206,3835.6662247888294
3859.026140895248,3867.866109147848
3886.986040481526,3890.666027265414
3896.746005430098,3919.1059251278516
3948.345820117221,3954.7857969890247
3955.6657938286503,3958.9057821927254
3981.785700022984,3989.02567402172
4007.0256093776934,4011.5055932885134
4018.665567574556,4030.1055264896854
4052.9854443199447,4060.8654160202263
4080.9853437625698,4085.2653283916566
4097.265285295639,4099.585276963741
4131.425162615641,4137.505140780325
4180.70498563466,4184.144973280469
4204.184901310119,4211.864873728668
4239.1847756134,4243.42476038614
4254.384721025111,4272.984654226283
4311.464516031719,4317.544494196402
4344.264398235936,4350.624375395047
4362.984331006148,4367.464314916968
4391.944227001091,4408.984165804746
4435.784069556973,4441.264049876458
4569.583589036373,4578.143558294547
4594.623499109349,4597.863487473424
4603.103468654829,4606.5834561569845
4615.863422829397,4630.743369390335
4647.103310636097,4654.063285640406
4671.383223438487,4675.423208929495
4682.943181922657,4687.223166551744
4692.983145865655,4699.263123312073
4702.7831106705735,4716.50306139746
4755.742920473482,4761.222900792966
4761.982898063552,4765.382885853013
4779.382835574326,4782.982822645521
4793.342785439292,4800.062761305522
4815.862704562432,4821.222685312877
4844.662601131989,4848.102588777797
4862.2625379244955,4871.062506320749
4892.302430040798,4903.262390679768
5010.50200554502,5015.70198687008
5020.541969488019,5027.061946072516
5041.221895219215,5045.181880997529
5050.621861460668,5056.261841205539
5072.581782594954,5079.941756162731
5096.4216969775325,5100.501682324886
5106.061662357065,5115.821627305637
5131.981569269666,5136.1415543297135
5141.341535654772,5147.821512382922
5163.741455208872,5169.9814327989425
5204.021310549905,5209.301291587657
5223.901239154168,5228.581222346722
5238.101188157214,5243.541168620352
5262.341101103258,5269.941073809113
5287.621010314313,5290.980998247428
5300.700963339654,5305.020947825087
5481.780313020743,5486.740295207723
5490.700280986037,5498.180254122853
5507.220221657185,5510.500209877607
5514.820194363041,5518.740180285008
5525.940154427398,5531.580134172269
5541.140099839108,5551.820061483652
5593.659911222203,5595.859903321266
5615.3398333620635,5619.059820002299
5629.41978279607,5633.2597690053435
5655.33968970867,5660.379671608343
5677.97960840085,5694.779548066425
5716.65946948802,5721.0994535424925
5740.619383439636,5743.979371372751
5770.659275555939,5775.619257742917
5788.419211773832,5793.419193817158
5807.979141527323,5812.5791250071825
5825.939077026949,5833.739049014537
5939.178670344193,5943.778653824053
5961.73858932368,5965.898574383727
5982.178515916796,5993.0184769867265
6017.298389789116,6023.898366086307
6043.9382941159565,6048.098279176004
6059.538238091133,6071.658194564156
6102.338084382003,6112.218048899615
6146.417926075964,6163.297865454232
6203.1377223754525,6220.537659886227
6246.457566798827,6255.937532752973
6276.49745891513,6279.897446704591
6286.257423863702,6292.537401310119
6312.337330201689,6315.897317416538
6322.177294862954,6326.497279348388
6345.697210394759,6353.257183244268
6371.7371168764,6376.0171015054875
6381.217082830546,6415.536959575935
6448.056842785726,6454.6168192265695
6474.53674768718,6477.776736051255
6490.9766886456355,6498.176662788025
6520.976580905591,6524.5365681204385
6529.8965488708845,6563.096429638568
6592.176325202551,6602.216289145549
6735.335811067057,6739.4157964144115
6747.015769120267,6756.855733781532
6781.815644141814,6791.975607653852
6829.015474630811,6833.935456961443
6853.8153855657065,6857.535372205942
6867.055338016434,6873.775313882664
6901.17521548009,6905.2952006837895
6929.3351143481,6937.095086479342
6957.815012066885,6962.334995834051
6970.0149682526,6976.934943400563
6996.41487344136,7000.854857495834
7014.854807217146,7019.574790266046
7056.294658392231,7084.654556541976
7104.174486439119,7108.254471786473
7113.934451387691,7121.014425961041
7140.254356863759,7145.174339194392
7159.57428747917,7170.77424725622
7190.774175429523,7199.934142532897
7315.613727087283,7319.213714158478
7327.133685715106,7336.013653824053
7345.733618916279,7347.8536113026485
7358.453573234499,7362.81355757628
