start_s,end_s
5.238547597293155,11.878490093225244
38.87202516462755,57.52392393460764
90.6569033238567,94.29385675127679
101.36756433488283,106.33917957053048
134.23361136248639,138.0373975159349
144.4104076502215,154.35363812151678
192.92536437929314,196.3287519902734
203.33572648346808,211.61062969447892
240.87308983986807,244.0429116344085
250.91641994678042,268.93435435785244
316.2814820047249,318.41694089788905
336.7351742158122,339.73816328432423
346.4782054158734,360.892552944731
385.3835971257066,388.58678546545275
396.2610908627612,402.10023627375676
420.5519357725027,423.5549248410147
431.86319459723126,441.50612616167535
462.46031655084795,466.63113470155906
485.2496669263335,492.9573388688476
512.1431023621187,517.2148172333834
534.73225346637,537.8687087157049
544.7755835732825,553.6844511432014
580.0773884009013,589.019622516026
611.6421401654829,623.8876622559708
649.6132686095569,655.6526132917866
678.7422625741233,689.4529235851494
721.9185720702848,725.6556251333219
733.5968628922758,737.2004497744903
781.1108232651768,788.2178973939886
813.5097386599007,817.4136244489663
837.9006832052593,840.9370388189769
859.48883795334,866.2956131753006
895.5580733206897,899.3618594741382
970.3658676718442,973.8026218280302
979.9754326910826,986.2149766445464
1002.9983488830079,1007.7363983022158
1026.1880978009617,1034.09596901471
1060.5222728176154,1064.5262582422981
1073.1681934505716,1078.7404064999216
1100.3952943384138,1103.6318492233656
1110.1383255384749,1115.5437058617965
1142.1702089359362,1145.8071623633564
1159.887844440157,1167.9625483799337
1207.5352709938807,1212.8405516815853
1232.6602795337644,1236.697631503653
1257.0845906243287,1270.9317068846897
1303.063689917768,1306.3669778931312
1314.5084149233194,1321.2150905096628
1344.371472882411,1347.6080277673627
1355.0154008030256,1359.8869164030561
1367.4611221647476,1371.7654064962815
1385.7459889374652,1390.2504725402332
1420.714128313027,1424.7514802829155
1431.7918213213159,1452.145413896786
1545.2047084754522,1551.544352064533
1566.459197771476,1571.9980442756205
1591.0837081332745,1599.3252447990797
1620.7132002759263,1625.2844169691057
1639.5319317719348,1643.369084470589
1653.8461796651752,1669.1614239145865
1694.4532651804986,1697.6898200654505
1704.263029470971,1709.53494361347
1732.5578598053953,1737.195809588986
1753.1116516520997,1784.809869597504
1796.087761877027,1801.9936403784338
1802.3606723756966,1806.264558164762
1820.7790053292367,1836.5613812115275
1866.024040628151,1869.6943606007767
1881.339284877562,1888.1794266447284
1904.4623007051046,1922.647067842205
1959.316901023257,1963.7880180808193
1971.762622384979,1999.957353083786
2042.5330647662452,2045.5026872895514
2051.8423308786323,2061.2516966266367
2087.911566245982,2093.3169465693036
2136.5266226106705,2139.0291135010975
2139.2293127723315,2143.066465470986
2149.372742514861,2166.656612931408
2199.4892934138056,2203.226346476843
2209.632723156335,2218.4081245454313
2244.200463989429,2248.2378159593172
2254.4439933675753,2261.851366403238
2292.0480898143865,2295.685043241807
2304.4938111761085,2311.4674191240974
2339.7622494585216,2342.865338162651
2349.738846475023,2354.543628984642
2378.967940075206,2383.3055909519458
2389.0780032725297,2399.2881661054707
2513.034718711664,2516.9719710459353
2535.056638547419,2538.026261070725
2544.866402837891,2560.448579448948
2585.1731894463633,2592.313630120381
2614.368916501341,2622.2767877150895
2648.0023940686756,2652.039746038564
2666.1537946605704,2676.097025131866
2695.2494220799313,2698.7195427813226
2738.592564302121,2741.92921882269
2749.4366914939696,2754.141374367972
2776.7305254722232,2781.2683756201973
2790.510908642173,2794.815192973707
2803.4904947271857,2808.3620103272165
2821.6752618642863,2825.579147653352
2828.5487701766583,2833.286819595866
2921.140933122445,2928.2813737964625
2940.8271947938015,2945.031379489718
2962.882481174762,2966.152402604919
2972.1583807419433,2989.876016246164
