start_s,end_s
250.55909878932184,253.71908742347836
258.9990684324487,261.95905778596244
376.63864530655405,379.31863566716777
439.878417845813,442.47840849416957
565.9579643630451,574.8779322797149
582.9979030738132,589.0778812053549
604.2378266780804,610.7978030831648
631.5577284138893,634.8377166164315
642.7576881298871,649.0776653982001
676.037568428852,682.8775438268362
704.0374677188464,710.4374446994166
730.4773726198268,734.0773596713976
797.9571299087136,808.0770935092401
826.8370260335364,829.8770150993072
840.5969765417623,844.9969607159043
870.1968700768992,873.3968585671843
880.116834396783,890.0767985727953
890.5167969902095,900.4367613100933
932.1166473639155,935.4766352787149
944.1566040586132,957.276556868782
982.9564645033198,986.4764518426333
991.8764324199894,995.3164200470459
995.4764194715601,1003.2763914166301
1024.556314877026,1027.9963025040822
1033.4362829375668,1045.2762403516217
1070.7561487055166,1074.2761360448303
1080.436113888629,1090.1160790717415
1125.2759526087486,1128.3959413867767
1128.555940811291,1133.8359218202613
1168.9157956450115,1175.5157719062245
1191.8357132066785,1199.6756850078768
1217.9556192586303,1222.3156035766438
1229.9555760971994,1236.6355520706695
1258.7154726536367,1263.3954558206785
1281.515390646918,1285.07537784236
1292.3553516577585,1301.0353204376568
1325.8752310934947,1334.475200161136
1422.0748850826901,1428.7148612000315
1446.194798328214,1449.4347866746275
1454.314769122312,1460.394747253854
1475.7546920072223,1488.1146475509483
1517.2345428125427,1524.7945156208411
1549.9944249818361,1558.8743930423773
1577.1943271492594,1590.594278952328
1629.9541373828347,1637.154111485976
1655.6340450173723,1661.994022141814
1679.8339579751532,1685.3939379770236
1690.3539201369656,1694.0339069007935
1702.2338774071488,1708.8338536683618
1715.5538294979606,1717.8338212972885
1728.8337817326435,1737.1937516635135
1812.8734794587556,1814.833472409055
1824.3134383115248,1826.5934301108528
1832.3134095372375,1850.4333443634766
1876.3132512786572,1881.4332328631133
1940.113021803716,1956.072964399013
1977.232888291023,1990.3928409573205
2017.8727421176436,2025.2327156452993
2032.2326904677977,2037.072673059354
2044.7526454360382,2048.0326336385806
2058.5525958003927,2068.4725601202763
2105.1524281901693,2108.8724148101255
2127.992346039579,2131.5523332350213
2139.832303453634,2149.3922690683603
2172.23218691777,2178.4321646176977
2201.3120823232357,2217.5520239114326
2245.2719242085273,2259.7118722709383
2286.351776452562,2289.9517635041325
2298.7917317085453,2310.2716904174426
2313.551678619985,2327.1516297036965
2361.231507125233,2367.7514836741884
2389.7514045448984,2401.551362102825
